opaque count=40
(3, 3, (0, 255, 204, 255))
(3, 4, (0, 255, 180, 255))
(4, 4, (0, 255, 134, 255))
(3, 5, (0, 255, 215, 255))
(5, 5, (105, 255, 0, 255))
(3, 6, (0, 255, 247, 255))
(6, 6, (172, 255, 0, 255))
(3, 7, (0, 233, 255, 255))
(7, 7, (215, 255, 0, 255))
(3, 8, (0, 184, 255, 255))
(8, 8, (247, 255, 0, 255))
(3, 9, (0, 59, 255, 255))
(9, 9, (255, 244, 0, 255))
(3, 10, (141, 0, 255, 255))
(10, 10, (255, 215, 0, 255))
(3, 11, (201, 0, 255, 255))
(11, 11, (255, 174, 0, 255))
(3, 12, (255, 0, 201, 255))
(12, 12, (255, 125, 0, 255))
(3, 13, (255, 0, 63, 255))
(13, 13, (255, 40, 0, 255))
(3, 14, (255, 175, 0, 255))
(14, 14, (255, 0, 131, 255))
(3, 15, (255, 232, 0, 255))
(15, 15, (255, 0, 185, 255))
(3, 16, (234, 255, 0, 255))
(14, 16, (255, 0, 244, 255))
(3, 17, (172, 255, 0, 255))
(13, 17, (225, 0, 255, 255))
(3, 18, (117, 255, 0, 255))
(12, 18, (138, 0, 255, 255))
(3, 19, (0, 255, 101, 255))
(4, 19, (0, 255, 162, 255))
(5, 19, (0, 255, 219, 255))
(6, 19, (0, 253, 255, 255))
(7, 19, (0, 207, 255, 255))
(8, 19, (0, 174, 255, 255))
(9, 19, (0, 132, 255, 255))
(10, 19, (0, 79, 255, 255))
(11, 19, (87, 0, 255, 255))
