non-black colors: 39
(0, 59, 255, 255)
(0, 79, 255, 255)
(0, 132, 255, 255)
(0, 174, 255, 255)
(0, 184, 255, 255)
(0, 207, 255, 255)
(0, 233, 255, 255)
(0, 253, 255, 255)
(0, 255, 101, 255)
(0, 255, 134, 255)
(0, 255, 162, 255)
(0, 255, 180, 255)
(0, 255, 204, 255)
(0, 255, 215, 255)
(0, 255, 219, 255)
(0, 255, 247, 255)
(87, 0, 255, 255)
(105, 255, 0, 255)
(117, 255, 0, 255)
(138, 0, 255, 255)
(141, 0, 255, 255)
(172, 255, 0, 255)
(201, 0, 255, 255)
(215, 255, 0, 255)
(225, 0, 255, 255)
(234, 255, 0, 255)
(247, 255, 0, 255)
(255, 0, 63, 255)
(255, 0, 131, 255)
(255, 0, 185, 255)
(255, 0, 201, 255)
(255, 0, 244, 255)
(255, 40, 0, 255)
(255, 125, 0, 255)
(255, 174, 0, 255)
(255, 175, 0, 255)
(255, 215, 0, 255)
(255, 232, 0, 255)
(255, 244, 0, 255)
